Player Name,Rounds,Fairway Percentage,Avg Distance,gir,Average Putts,Average Scrambling,Average Score,Points,Wins,Top 10,Average SG Putts,Average SG Total,SG:OTT,SG:APR,SG:ARG,Money
Robert Garrigus,71.0,55.73,315.5,67.61,29.89,51.98,71.264,382,0,2,-0.16399999999999998,-0.269,0.73,0.025,-0.845,1583275.0
Bubba Watson,77.0,55.67,309.8,68.54,29.4,55.5,70.229,1498,1,4,-0.077,0.695,0.7979999999999999,0.14,-0.168,3198998.0
Jeff Overton,89.0,55.44,297.3,66.86,29.04,56.8,70.497,1536,0,6,0.409,0.63,0.232,0.064,-0.07400000000000001,3456356.0
Andres Romero,73.0,55.05,296.0,65.07,28.93,60.78,70.986,418,0,2,0.254,0.136,0.16699999999999998,-0.101,-0.184,979170.0
Brenden Pappas,66.0,54.94,288.4,66.49,29.5,55.61,71.96600000000002,89,0,0,-0.091,-0.731,-0.593,-0.07400000000000001,0.03,133584.0
Derek Lamely,81.0,54.84,294.0,61.93,29.17,57.0,71.666,487,1,1,0.02,-0.5920000000000001,-0.199,-0.332,-0.081,972961.0
Charles Howell III,103.0,54.58,294.3,68.57,28.96,64.46,70.292,746,0,4,0.452,0.784,-0.041,0.046,0.324,1482211.0
Ángel Cabrera,64.0,54.49,304.5,65.78,29.48,55.15,70.919,524,0,2,-0.14800000000000002,0.249,0.598,-0.027000000000000003,-0.17,1266440.0
J.B. Holmes,100.0,54.45,307.2,65.5,28.86,62.48,70.089,1153,0,3,0.064,0.936,0.7290000000000001,0.026,0.113,2386248.0
George McNeill,79.0,54.34,293.4,66.03,29.32,55.49,71.207,338,0,1,0.319,0.028,-0.488,0.175,0.018000000000000002,664854.0
