"Name","Frequency"
"KIYAN",8
"KOLBY",8
"KOLE",8
"KRISTOPHER",8
"KYLO",8
"LEIGHTON",8
"LUC",8
"LYNDON",8
"MATHÉO",8
"MUJTABA",8
"MYLO",8
"NEAL",8
"NICKOLAS",8
"NIVAAN",8
"OZZY",8
"PANAGIOTIS",8
"PEARSON",8
"PHILLIP",8
"PRANAV",8
"QUINTUS",8
"RÉMI",8
"ROCKY",8
"ROSHAN",8
"RUDY",8
"RYDEN",8
"RYU",8
"SALIM",8
"SAMAR",8
"SAMIR",8
"SAYED",8
"SEAMUS",8
"SEHAJ",8
"SERGIO",8
"SHAYAAN",8
"SYDNEY",8
"TEO",8
"TEODOR",8
"THORIN",8
"TIBERIUS",8
"TRISTEN",8
"TRYSTAN",8
"UZAIR",8
"WAYNE",8
"WESTIN",8
"ZAC",8
"ZACHARIE",8
"ZAYYAN",8
"ALIJAH",7
"ANAKIN",7
"ANDERS",7
"ANTONI",7
"ARNAV",7
"ARYA",7
"ASH",7
"AUGUSTIN",7
"AYANSH",7
"AZIZ",7
"BASTIAN",7
"BOWIE",7
"CAIUS",7
"CALDER",7
"CAMPBELL",7
"CASTIEL",7
"CHAD",7
"CORBYN",7
"CROSBY",7
"DANILO",7
"DANNY",7
"DASHIELL",7
"DERRICK",7
"DEVAN",7
"DEVEN",7
"EDDISON",7
"ELNATHAN",7
"EMIL",7
"ERICK",7
"ERNEST",7
"FARES",7
"FINDLEY",7
"FINNICK",7
"FIONN",7
"FISHER",7
"FRANCISCO",7
"FRASER",7
"GEOFFREY",7
"GURTAJ",7
"HAADI",7
"ILYA",7
"ISHAN",7
"ISMAEEL",7
"IZYAN",7
"JACQUES",7
"JAHEIM",7
"JARVIS",7
"JAXXON",7
"JIBREEL",7
"JON",7
"JORGE",7
"JUN",7
"KAMRAN",7
"KARMAN",7
"KAVAN",7
"KEAGAN",7
"KELVIN",7
"KENAN",7
"KENZO",7
"KIDUS",7
"KYREN",7
"LEONEL",7
"LLEWYN",7
"LUCIUS",7
"MARCELO",7
"MARCOS",7
"MARLON",7
"MATT",7
"MEKHI",7
"MESSIAH",7
"MIKA",7
"MIKAEEL",7
"MOHID",7
"MONTGOMERY",7
"MOSHE",7
"NABIL",7
"NORMAN",7
"NOVA",7
"PAOLO",7
"QUINTEN",7
"RAINE",7
"RAZA",7
"REHAN",7
"RICARDO",7
"RIDWAN",7
"RISHI",7
"ROHAAN",7
"ROSS",7
"SALEM",7
"SAUL",7
"SHEPHERD",7
"SHIV",7
"SHREY",7
"SULEIMAN",7
"SYLAS",7
"TAIM",7
"TALHA",7
"TAYM",7
"TEGH",7
"TERRANCE",7
"THATCHER",7
"THEODOR",7
"TURNER",7
"TYRELL",7
"VIHAN",7
"VUK",7
"WALID",7
"WILDER",7
"WOLFGANG",7
"YOSEF",7
"YOUNIS",7
"ZAKARY",7
"ZIDAN",7
"AARAN",6
"ABDIRAHMAN",6
"ADONIS",6
"ADYAN",6
"AGAMBIR",6
"AJ",6
"AJEET",6
"ALEXANDROS",6
"ALLISTER",6
"AMIN",6
"ANDREJ",6
